name,team,fifa_OVA,fifa_POT
Cristiano Ronaldo,Real Madrid CF,94,94
L. Messi,FC Barcelona,93,93
Neymar,FC Barcelona,92,95
L. Suárez,FC Barcelona,92,92
M. Neuer,FC Bayern Munich,92,92
De Gea,Manchester United,90,92
R. Lewandowski,FC Bayern Munich,90,90
J. Boateng,FC Bayern Munich,90,90
G. Bale,Real Madrid CF,90,90
Z. Ibrahimović,Manchester United,90,90
T. Courtois,Chelsea,89,93
L. Modrić,Real Madrid CF,89,89
M. Özil,Arsenal,89,89
Thiago Silva,Paris Saint-Germain,89,89
Sergio Ramos,Real Madrid CF,89,89
S. Agüero,Manchester City,89,89
P. Pogba,Manchester United,88,94
A. Griezmann,Atlético Madrid,88,92
K. De Bruyne,Manchester City,88,91
M. Reus,Borussia Dortmund,88,88
E. Hazard,Chelsea,88,90
T. Kroos,Real Madrid CF,88,90
D. Godín,Atlético Madrid,88,88
H. Lloris,Tottenham Hotspur,88,88
G. Higuaín,Juventus,88,88
G. Chiellini,Juventus,88,88
P. Lahm,FC Bayern Munich,88,88
Pepe,Real Madrid CF,88,88
P. Čech,Arsenal,88,88
G. Buffon,Juventus,88,88
Iniesta,FC Barcelona,88,88
J. Oblak,Atlético Madrid,87,91
J. Rodríguez,Real Madrid CF,87,92
D. Alaba,FC Bayern Munich,87,90
T. Müller,FC Bayern Munich,87,88
Sergio Busquets,FC Barcelona,87,88
A. Sánchez,Arsenal,87,87
L. Bonucci,Juventus,87,87
A. Di María,Paris Saint-Germain,87,87
A. Vidal,FC Bayern Munich,87,87
M. Hummels,FC Bayern Munich,87,87
I. Rakitić,FC Barcelona,87,87
David Silva,Manchester City,87,87
K. Benzema,Real Madrid CF,87,87
S. Handanovič,Inter,87,87
A. Robben,FC Bayern Munich,87,87
B. Leno,Bayer 04 Leverkusen,86,89
Jordi Alba,FC Barcelona,86,87
P. Aubameyang,Borussia Dortmund,86,87
D. Payet,West Ham United,86,86
Marcelo,Real Madrid CF,86,86
C. Marchisio,Juventus,86,86
B. Matuidi,Paris Saint-Germain,86,86
Miranda,Inter,86,86
Cesc Fàbregas,Chelsea,86,86
F. Ribéry,FC Bayern Munich,86,86
Piqué,FC Barcelona,86,86
Santi Cazorla,Arsenal,86,86
A. Barzagli,Juventus,86,86
P. Dybala,Juventus,85,92
R. Mahrez,Leicester City,85,88
M. Verratti,Paris Saint-Germain,85,90
A. Lacazette,Olympique Lyonnais,85,88
K. Navas,Real Madrid CF,85,85
H. Mkhitaryan,Manchester United,85,85
N. Otamendi,Manchester City,85,85
J. Pastore,Paris Saint-Germain,85,86
I. Gündoğan,Manchester City,85,87
N. Gaitán,Atlético Madrid,85,85
T. Alderweireld,Tottenham Hotspur,85,86
Willian,Chelsea,85,85
M. Pjanić,Juventus,85,87
Diego Costa,Chelsea,85,85
E. Cavani,Paris Saint-Germain,85,85
C. Bravo,Manchester City,85,85
M. Hamšik,Napoli,85,85
S. Ruffier,AS Saint-Étienne,85,85
L. Koscielny,Arsenal,85,85
Filipe Luís,Atlético Madrid,85,85
Dani Alves,Juventus,85,85
J. Mascherano,FC Barcelona,85,85
