home_team,away_team,game_date,result,home_goals,away_goals,referee,attendance,venue,home_ball_possession,away_ball_possession,home_goal_attempts,away_goal_attempts,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_blocked_shots,away_blocked_shots,home_free_kicks,away_free_kicks,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_goalkeeper_saves,away_goalkeeper_saves,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_formation,away_formation,home_players,away_players,home_substitutes,away_substitutes,substitutions_made,home_coach,away_coach
Southampton,Swansea,2/1/2015,L,0,1,Oliver M. (Eng),,St. Mary's Stadium (Southampton),0.64,0.36,12,9,6,1,4,3,,,12,9,9,0,0,3,0,6,11,9,1,1,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Bertrand R.', u'Clyne N.', u'Davis S.', u'Elia E.', u'Fonte J. ', u'Forster F. ', u'Pelle G.', u'Reed H.', u'Tadic D.', u'Ward-Prowse J.', u'Yoshida M.']","[u'Carroll T.', u'Dyer N.', u'Emnes M.', u'Fabianski L. ', u'Fernandez F.', u'Fulton J.', u'Gomis B.', u'Naughton K.', u'Shelvey J.', u'Taylor N.', u'Williams A. ']","[u'Davis K. ', u'Gape D.', u'Gardos F.', u'Mane S.', u'Seager R.', u'Targett M.', '']","[u'Amat J.', u'Barrow M.', u'Grimes M.', u'Oliveira N.', u'Rangel A.', u'Tiendalli D.', u'Tremmel G. ']","[(u'Amat J.', u'Barrow M.'), (u'Barrow M.', u'Emnes M.)(Amat J.'), (u'Mane S.', u'Reed H.'), (u'Seager R.', u'Elia E.'), (u'Rangel A.', u'Naughton K.')]",Koeman R.,Monk G.
Crystal Palace,Hull City,4/25/2015,L,0,2,Clattenburg M. (Eng),,Selhurst Park (London),0.47,0.53,7,21,3,7,3,10,,,10,20,0,9,5,0,5,3,15,10,,,4 - 3 - 3,3 - 5 - 2,"[u'Bolasie Y.', u'Dann S.', u'Delaney D.', u'Jedinak M. ', u'Kelly M.', u'McArthur J.', u'Murray G.', u'Puncheon J.', u'Souare P.', u'Speroni J. ', u'Zaha W.']","[u'Aluko S.', u'Brady R.', u'Chester J.', u'Dawson M. ', u'Elmohamady A.', u'Harper S. ', u'Huddlestone T.', u'Livermore J.', u'McShane P.', u""N'Doye D."", u'Quinn S.']","[u'Gayle D.', u'Hangeland B.', u'Hennessey W. ', u'Ledley J.', u'Lee Chung-Yong', u'Mutch J.', u'Sanogo Y.']","[u'Bruce A.', u'Figueroa M.', u'Hernandez A.', u'McGregor A. ', u'Ramirez G.', u'Rosenior L.', u'Sagbo Y.']","[(u'Gayle D.', u'Zaha W.'), (u'Bruce A.', u'Aluko S.'), (u'Lee Chung-Yong', u'Jedinak M.'), (u'Ramirez G.', u'Quinn S.'), (u'Rosenior L.', u'Brady R.'), (u'Sanogo Y.', u'Murray G.')]",Pardew A.,Bruce S.
Manchester City,Manchester United,11/2/2014,W,1,0,Oliver M. (Eng),45358,Etihad Stadium (Manchester),0.52,0.48,16,9,6,2,6,5,,,12,19,7,4,3,3,2,5,15,9,3,3,4 - 4 - 2,4 - 1 - 4 - 1,"[u'Aguero S.', u'Clichy G.', u'Demichelis M.', u'Fernando', u'Hart J. ', u'Jovetic S.', u'Kompany V. ', u'Milner J.', u'Navas J.', u'Toure Y.', u'Zabaleta P.']","[u'Blind D.', u'de Gea D. ', u'Di Maria A.', u'Fellaini M.', u'Januzaj A.', u'Rojo M.', u'Rooney W. ', u'Shaw L.', u'Smalling C.', u'Valencia A.', u'van Persie R.']","[u'Boyata D.', u'Caballero W. ', u'Dzeko E.', u'Nasri S.', u'Fernandinho', u'Sagna B.', u'Sinclair S.']","[u'Carrick M.', u'Fletcher D.', u'Herrera A.', u'Lindegaard A. ', u'Mata', u'McNair P.', u'Wilson J.']","[(u'Carrick M.', u'Januzaj A.'), (u'Dzeko E.', u'Jovetic S.'), (u'Nasri S.', u'Milner J.'), (u'Fernandinho', u'Aguero S.'), (u'McNair P.', u'Rojo M.'), (u'Wilson J.', u'van Persie R.')]",Pellegrini M.,van Gaal L.
Southampton,Newcastle Utd,9/13/2014,W,4,0,Foy C. (Eng),,St. Mary's Stadium (Southampton),0.48,0.52,12,7,7,4,3,3,,,7,18,5,5,2,0,4,3,15,7,0,2,4 - 3 - 3,4 - 2 - 3 - 1,"[u'Alderweireld T.', u'Bertrand R.', u'Clyne N.', u'Cork J.', u'Davis S.', u'Fonte J. ', u'Forster F. ', u'Long S.', u'Pelle G.', u'Schneiderlin M.', u'Tadic D.']","[u'Anita V.', u'Cabella R.', u'Colback J.', u'Coloccini F. ', u'Gouffran Y.', u'Haidara M.', u'Janmaat D.', u'Krul T. ', u'Riviere E.', u'Sissoko M.', u'Williamson M.']","[u'Davis K. ', u'Gardos F.', u'Mayuka E.', u'McQueen S.', u'Wanyama V.', u'Ward-Prowse J.', u'Yoshida M.']","[u'Ameobi S.', u'Armstrong A.', u'Elliot R. ', u'Obertan G.', u'Perez A.', u'Taylor S.', u'Tiote C.']","[(u'Ameobi S.', u'Sissoko M.'), (u'Gardos F.', u'Cork J.'), (u'Wanyama V.', u'Long S.'), (u'Perez A.', u'Cabella R.'), (u'Ward-Prowse J.', u'Tadic D.'), (u'Tiote C.', u'Anita V.')]",Koeman R.,Pardew A.
Swansea,West Brom,8/30/2014,W,3,0,Tierney P. (Eng),20318,Liberty Stadium (Swansea),0.56,0.44,15,16,8,2,7,7,,,9,11,0,7,2,1,2,5,10,8,1,2,4 - 2 - 3 - 1,4 - 4 - 1 - 1,"[u'Amat J.', u'Bony W.', u'Dyer N.', u'Fabianski L. ', u'Ki Sung-Yong', u'Rangel A.', u'Routledge W.', u'Shelvey J.', u'Sigurdsson G.', u'Taylor N.', u'Williams A. ']","[u'Berahino S.', u'Brunt C. ', u'Davidson J.', u'Dawson C.', u'Dorrans G.', u'Foster B. ', u'Gardner C.', u'Ideye B.', u'Mulumbu Y.', u'Olsson J.', u'Wisdom A.']","[u'Carroll T.', u'Fernandez F.', u'Gomis B.', u'Montero J.', u'Richards J.', u'Tiendalli D.', u'Tremmel G. ']","[u'Baird Ch.', u'Gamboa C.', u'McAuley G.', u'Morrison J.', u'Myhill B. ', u'Sessegnon S.', u'Yacob C.']","[(u'Carroll T.', u'Shelvey J.'), (u'Gamboa C.', u'Davidson J.'), (u'Gomis B.', u'Bony W.'), (u'Montero J.', u'Routledge W.'), (u'Morrison J.', u'Brunt C.'), (u'Sessegnon S.', u'Dorrans G.')]",Monk G.,Irvine A.
Everton,Tottenham,5/24/2015,L,0,1,Moss J. (Eng),39365,Goodison Park (Liverpool),0.4,0.6,9,16,1,3,6,4,,,13,14,3,5,2,4,2,1,12,8,1,2,4 - 2 - 3 - 1,4 - 2 - 3 - 1,"[u'Barkley R.', u'Barry G.', u'Coleman S.', u'Galloway B.', u'Howard T. ', u'Jagielka P. ', u'Lukaku R.', u'McCarthy J.', u'Mirallas K.', u'Osman L.', u'Stones J.']","[u'Bentaleb N.', u'Chadli N.', u'Dembele M.', u'Dier E.', u'Eriksen C.', u'Fazio F.', u'Kane H.', u'Lamela E.', u'Lloris H. ', u'Mason R.', u'Vertonghen J.']","[u'Atsu Ch.', u'Besic M.', u'Distin S.', u'Kone A.', u'McGeady A.', u'Naismith S.', u'Robles J. ']","[u'Onomah J.', u'Soldado R.', u'Stambouli B.', u'Townsend A.', u'Vorm M. ', u'Winks H.', u'Yedlin D.']","[(u'Besic M.', u'Barkley R.'), (u'Soldado R.', u'Chadli N.'), (u'Distin S.', u'Galloway B.'), (u'Stambouli B.', u'Dembele M.'), (u'Townsend A.', u'Kane H.'), (u'Naismith S.', u'Mirallas K.')]",Martinez R.,Pochettino M.
Sunderland,Southampton,5/2/2015,W,2,1,Jones M. (Eng),39613,Stadium of Light (Sunderland),0.45,0.55,12,11,6,2,4,6,,,13,15,1,1,3,3,1,4,12,13,2,2,4 - 3 - 3,4 - 2 - 3 - 1,"[u'Cattermole L.', u'Coates S.', u'Defoe J.', u'Gomez J.', u'Graham D.', u'Jones B.', u'Larsson S.', u""O'Shea J. "", u'Pantilimon C. ', u'van Aanholt P.', u'Wickham C.']","[u'Alderweireld T.', u'Bertrand R.', u'Clyne N.', u'Davis K. ', u'Fonte J. ', u'Long S.', u'Mane S.', u'Pelle G.', u'Wanyama V.', u'Ward-Prowse J.', u'Yoshida M.']","[u'Bridcutt L.', u'Buckley W.', u'Johnson A.', u'Mannone V. ', u'Reveillere A.', u'Rodwell J.', u'Vergini S.']","[u'Davis S.', u'Djuricic F.', u'Elia E.', u'Gardos F.', u'Gazzaniga P. ', u'Reed H.', u'Targett M.']","[(u'Davis S.', u'Wanyama V.'), (u'Djuricic F.', u'Long S.'), (u'Johnson A.', u'Defoe J.'), (u'Elia E.', u'Mane S.'), (u'Rodwell J.', u'Larsson S.'), (u'Vergini S.', u""O'Shea J."")]",Advocaat D.,Koeman R.
Newcastle Utd,Burnley,1/1/2015,D,3,3,Dean M. (Eng),51761,St. James Park (Newcastle),0.52,0.48,10,15,4,4,3,8,,,13,12,5,5,0,0,1,1,12,13,2,4,4 - 2 - 3 - 1,4 - 4 - 2,"[u'Alnwick J. ', u'Colback J.', u'Coloccini F. ', u'Dummett P.', u'Gouffran Y.', u'Janmaat D.', u'Perez A.', u'Riviere E.', u'Sissoko M.', u'Taylor S.', u'Tiote C.']","[u'Arfield S.', u'Barnes A.', u'Boyd G.', u'Heaton T. ', u'Ings D.', u'Jones D.', u'Keane M.', u'Marney D.', u'Mee B.', u'Shackell J. ', u'Trippier K.']","[u'Anita V.', u'Armstrong A.', u'Cabella R.', u'Haidara M.', u'Santon D.', u'Williamson M.', u'Woodman F. ']","[u'Gilks M. ', u'Jutkiewicz L.', u'Kightly M.', u'Long K.', u'Reid S.', u'Sordell M.', u'Wallace R.']","[(u'Armstrong A.', u'Riviere E.'), (u'Kightly M.', u'Marney D.'), (u'Haidara M.', u'Gouffran Y.'), (u'Long K.', u'Shackell J.)(Reid S.'), (u'Reid S.', u'Long K.'), (u'Williamson M.', u'Taylor S.')]",Carver J.,Dyche S.
Tottenham,West Ham,2/22/2015,D,2,2,Moss J. (Eng),,White Hart Lane (London),0.65,0.35,27,12,8,5,12,4,,,16,8,7,9,2,4,3,6,6,12,0,2,4 - 2 - 3 - 1,4 - 3 - 3,"[u'Bentaleb N.', u'Dembele M.', u'Dier E.', u'Kane H.', u'Lamela E.', u'Lloris H. ', u'Mason R.', u'Rose D.', u'Townsend A.', u'Vertonghen J.', u'Walker K.']","[u'Adrian ', u'Cresswell A.', u'Downing S.', u'Jenkinson C.', u'Kouyate C.', u'Noble M. ', u'Reid W.', u'Sakho D.', u'Song A.', u'Tomkins J.', u'Valencia E.']","[u'Chadli N.', u'Davies B.', u'Eriksen C.', u'Fazio F.', u'Soldado R.', u'Stambouli B.', u'Vorm M. ']","[u'Cole C.', u'Collins J.', u'Demel G.', u'Jaaskelainen J. ', u'Jarvis M.', u'Nolan K.', u""O'Brien J.""]","[(u'Chadli N.', u'Mason R.'), (u'Cole C.', u'Noble M.)(Collins J.'), (u'Collins J.', u'Cole C.'), (u'Eriksen C.', u'Dembele M.'), (u'Soldado R.', u'Townsend A.'), (u'Jarvis M.', u'Valencia E.')]",Pochettino M.,Allardyce S.
Leicester,Manchester United,9/21/2014,W,5,3,Clattenburg M. (Eng),31784,King Power Stadium (Leicester),0.42,0.58,15,16,5,5,6,7,,,12,15,2,4,4,4,2,0,11,9,1,1,4 - 3 - 3,4 - 3 - 1 - 2,"[u'Cambiasso E.', u'De Laet R.', u'Drinkwater D.', u'Hammond D.', u'Konchesky P.', u'Moore L.', u'Morgan W. ', u'Nugent D.', u'Schmeichel K. ', u'Ulloa L.', u'Vardy J.']","[u'Blackett T.', u'Blind D.', u'de Gea D. ', u'Di Maria A.', u'Evans J.', u'Falcao', u'Herrera A.', u'Rafael', u'Rojo M.', u'Rooney W. ', u'van Persie R.']","[u'Hamer B. ', u'James M.', u'King A.', u'Mahrez R.', u'Schlupp J.', u'Wasilewski M.', u'Wood Ch.']","[u'Fletcher D.', u'Januzaj A.', u'Lindegaard A. ', u'Mata', u'Shaw L.', u'Smalling C.', u'Valencia A.']","[(u'James M.', u'Nugent D.'), (u'Januzaj A.', u'Falcao'), (u'King A.', u'Cambiasso E.'), (u'Mata', u'Di Maria A.'), (u'Schlupp J.', u'Vardy J.'), (u'Smalling C.', u'Evans J.')]",Pearson N.,van Gaal L.
