home_team,away_team,game_date,name,team,goals,assists,goal_attempts,shots_on_goal,blocked_shots,offsides,fouls_committed,fouls_sufferred,yellow_cards,red_cards,pass_success,total_passes
Liverpool,Fulham,11/9/2013,Agger D.,LIV,0,0,1,0,0,0,0,0,0,0,96,50
Liverpool,Fulham,11/9/2013,Allen J.,LIV,0,0,1,0,0,0,1,1,0,0,96,28
Liverpool,Fulham,11/9/2013,Bent D.,FUL,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Boateng D.,FUL,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Coutinho,LIV,0,0,9,4,0,0,1,1,0,0,84,87
Liverpool,Fulham,11/9/2013,Enrique J.,LIV,0,0,0,0,0,1,0,0,0,0,81,26
Liverpool,Fulham,11/9/2013,Henderson J.,LIV,0,1,3,0,0,0,1,0,0,0,87,87
Liverpool,Fulham,11/9/2013,Johnson G.,LIV,0,0,1,0,1,0,0,1,0,0,92,89
Liverpool,Fulham,11/9/2013,Kacaniklic A.,FUL,0,0,0,0,1,0,0,2,0,0,67,9
Liverpool,Fulham,11/9/2013,Kasami P.,FUL,0,0,2,0,1,1,3,2,0,0,82,44
Liverpool,Fulham,11/9/2013,Mignolet S.,LIV,0,0,0,0,0,0,0,0,0,0,89,18
Liverpool,Fulham,11/9/2013,Parker S.,FUL,0,0,0,0,3,0,2,3,1,0,89,37
Liverpool,Fulham,11/9/2013,Ruiz B.,FUL,0,0,0,0,0,0,0,0,0,0,84,19
Liverpool,Fulham,11/9/2013,Senderos P.,FUL,0,0,0,0,2,0,0,0,0,0,73,26
Liverpool,Fulham,11/9/2013,Skrtel M.,LIV,1,0,2,2,0,0,0,1,0,0,94,71
Liverpool,Fulham,11/9/2013,Sterling R.,LIV,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Sturridge D.,LIV,0,0,4,1,0,3,1,1,0,0,70,23
Liverpool,Fulham,11/9/2013,Taarabt A.,FUL,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Alberto L.,LIV,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Amorebieta F.,FUL,0,0,0,0,2,0,1,1,0,0,83,12
Liverpool,Fulham,11/9/2013,Berbatov D.,FUL,0,0,2,1,0,0,0,0,0,0,71,34
Liverpool,Fulham,11/9/2013,Cissokho A.,LIV,0,0,0,0,0,0,1,0,0,0,82,22
Liverpool,Fulham,11/9/2013,Dejagah A.,FUL,0,0,0,0,0,0,1,1,0,0,91,34
Liverpool,Fulham,11/9/2013,Gerrard S.,LIV,0,2,1,0,0,0,1,1,0,0,91,75
Liverpool,Fulham,11/9/2013,Hughes A.,FUL,0,0,0,0,0,0,0,1,0,0,100,12
Liverpool,Fulham,11/9/2013,Jones B.,LIV,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Karagounis G.,FUL,0,0,0,0,0,0,0,2,0,0,100,4
Liverpool,Fulham,11/9/2013,Lucas L.,LIV,0,0,0,0,0,0,3,0,0,0,97,90
Liverpool,Fulham,11/9/2013,Moses V.,LIV,0,0,0,0,0,0,0,0,0,0,100,13
Liverpool,Fulham,11/9/2013,Richardson K.,FUL,0,0,0,0,0,0,0,0,0,0,80,30
Liverpool,Fulham,11/9/2013,Sakho M.,LIV,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Sidwell S.,FUL,0,0,0,0,0,1,1,0,0,0,85,20
Liverpool,Fulham,11/9/2013,Stekelenburg M.,FUL,0,0,0,0,0,0,0,0,0,0,58,19
Liverpool,Fulham,11/9/2013,Stockdale D.,FUL,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Fulham,11/9/2013,Suarez L.,LIV,2,0,10,3,0,0,4,1,0,0,81,42
Liverpool,Fulham,11/9/2013,Zverotic E.,FUL,0,0,0,0,0,0,1,1,0,0,87,15
Manchester United,Tottenham,1/1/2014,Adebayor E.,TOT,1,0,2,1,0,1,0,1,0,0,93,29
Manchester United,Tottenham,1/1/2014,Buttner A.,MAU,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Tottenham,1/1/2014,Carrick M.,MAU,0,0,0,0,0,0,0,0,0,0,87,55
Manchester United,Tottenham,1/1/2014,Chicharito,MAU,0,0,1,1,0,0,0,0,0,0,83,6
Manchester United,Tottenham,1/1/2014,Cleverley T.,MAU,0,0,0,0,0,0,0,1,0,0,93,46
Manchester United,Tottenham,1/1/2014,de Gea D.,MAU,0,0,0,0,0,0,0,0,0,0,74,19
Manchester United,Tottenham,1/1/2014,Eriksen C.,TOT,1,1,1,1,0,0,0,0,0,0,82,34
Manchester United,Tottenham,1/1/2014,Evra P.,MAU,0,0,0,0,0,1,1,2,0,0,84,31
Manchester United,Tottenham,1/1/2014,Fletcher D.,MAU,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Tottenham,1/1/2014,Friedel B.,TOT,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Tottenham,1/1/2014,Januzaj A.,MAU,0,1,3,0,0,0,3,2,1,0,66,35
Manchester United,Tottenham,1/1/2014,Kane H.,TOT,0,0,0,0,0,1,1,1,0,0,71,7
Manchester United,Tottenham,1/1/2014,Lennon A.,TOT,0,0,2,2,0,0,0,0,0,0,72,18
Manchester United,Tottenham,1/1/2014,Lloris H.,TOT,0,0,0,0,0,0,0,0,0,0,23,22
Manchester United,Tottenham,1/1/2014,Rose D.,TOT,0,0,1,0,1,0,2,1,0,0,82,38
Manchester United,Tottenham,1/1/2014,Soldado R.,TOT,0,0,2,0,0,0,1,0,0,0,70,20
